,code,name,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,business_income,bips
41,600566,济川药业,25.76,23.6,84.5659,1308.768,1.6062,5543.9883,6.8039
42,000895,双汇发展,24.88,10.0,21.2812,3652.2759,1.1068,36516.2367,11.067
43,000502,绿景控股,24.87,319.69,18.4119,41.9866,0.2271,13.1334,0.071
44,603288,海天味业,24.84,24.63,46.4732,3131.2344,1.1591,12711.7559,4.7059
45,600319,亚星化学,24.82,0.66,10.4877,10.4962,0.0332,1567.7888,4.9677
46,002803,吉宏股份,24.5,8.11,39.865,131.3507,1.1323,1618.2887,13.9507
47,000651,格力电器,24.36,14.2,30.1534,21118.4358,3.5105,148698.6414,24.7183
48,300136,信维通信,24.3,25.67,39.032,862.2751,0.8838,3358.0499,3.4419999999999997
49,600519,贵州茅台,24.16,47.34,91.1238,24733.5527,19.6892,52241.67,41.5871
50,603799,华友钴业,23.76,18.97,34.4548,1911.8469,2.3041,10073.6299,12.1405
51,300251,光线传媒,23.49,177.83,40.3389,2285.3791,0.779,1285.1313,0.43799999999999994
52,002016,世荣兆业,23.22,40.64,66.6959,573.6853,0.7090000000000001,1411.4203,1.7444
53,600282,南钢股份,23.21,10.21,21.1417,3437.3044,0.7778,33641.4995,7.6132
54,600782,新钢股份,23.19,9.68,14.9682,3948.2847,1.2382,40787.9503,12.7913
55,000789,万年青,23.16,12.42,33.2878,871.9408,1.4215,7017.5227,11.440999999999999
56,002075,沙钢股份,23.14,9.01,24.3431,993.4568,0.4501,11019.5532,4.9935
57,603658,安图生物,23.12,30.21,66.7753,411.0137,0.9786,1360.2052,3.2385
58,000540,中天金融,23.1,65.78,29.5828,4730.8608,0.6753,7191.7563,1.0266
59,300601,康泰生物,22.89,25.08,90.6747,376.1984,0.5911,1499.9595,2.3571
60,600801,华新水泥,22.88,17.91,38.2983,3411.3845,2.2779,19040.1384,12.714
61,002460,赣锋锂业,22.5,30.79,38.4619,1106.5317,0.9924,3593.5009999999997,3.2231
62,002940,昂利康,22.5,11.21,70.5286,99.2015,1.4696,884.9225,13.1099
63,002507,涪陵榨菜,22.42,33.85,55.7298,523.1497,0.6627,1545.1295,1.9574
64,002415,海康威视,22.21,21.87,44.9088,7395.8032,0.8015,33802.6912,3.6633
65,000537,广宇发展,21.99,15.96,32.6938,2306.8941,1.2385,14447.7371,7.757000000000001
66,600426,华鲁恒升,21.88,23.36,32.9184,2534.5709,1.5641,10848.7096,6.6952
67,600763,通策医疗,21.88,23.67,44.7602,275.3931,0.8588,1163.4665,3.6285
68,002626,金达威,21.75,31.31,54.4569,650.9772,1.0559,2078.8185,3.372
69,300577,开润股份,21.72,8.88,25.5287,128.1255,0.5886,1442.1773,6.6253
70,300461,田中精机,21.68,13.38,41.2983,102.1019,0.8194,763.05,6.1242
71,000333,美的集团,21.6,8.69,27.2613,17900.238999999998,2.6939,205756.65300000002,30.9657
72,002304,洋河股份,21.58,33.57,73.0349,7038.7549,4.6707,20965.6606,13.9122
73,002833,弘亚数控,21.57,26.69,38.9663,248.0698,1.8334,929.4426,6.8693
74,600398,海澜之家,21.24,20.15,43.4243,2628.2395,0.5849,13042.4363,2.9029
75,000830,鲁西化工,21.15,14.9,27.8807,2351.4267,1.6052,15772.0032,10.7668
76,600809,山西汾酒,21.1,18.27,69.4356,1263.8002,1.4596,6915.4459,7.9869
77,600609,金杯汽车,21.05,1.64,12.144,73.1656,0.0669,4442.0046,4.0652
78,603568,伟明环保,21.02,49.33,60.9929,577.4301,0.8395,1170.3941,1.7017
79,002901,大博医疗,20.97,51.95,82.436,283.3343,0.7081,545.3915,1.3631
80,600596,新安股份,20.91,13.35,26.2016,1165.7075,1.6513,8726.9497,12.3626
81,002032,苏泊尔,20.73,8.24,30.2099,1104.3916,1.3447,13393.5821,16.3088
82,300357,我武生物,20.44,49.09,93.9107,189.3388,0.6509,385.6937,1.3259
83,002597,金禾实业,20.02,22.54,33.2919,754.005,1.3494,3344.8472,5.9861
84,002677,浙江美大,20.02,26.5,51.3282,247.3203,0.3828,933.2542,1.4444
85,002468,申通快递,20.0,14.5,17.8244,1610.6461,1.0521,11103.3229,7.2532
86,002749,国光股份,19.98,26.2,49.9741,176.3919,1.3672,673.0446,5.2169
87,600585,海螺水泥,19.98,26.63,41.3872,20716.1255,3.9092,77792.0518,14.6796
88,300628,亿联网络,19.95,50.3,61.174,663.6057,2.2217,1319.0931,4.4164
89,600808,马钢股份,19.79,8.84,15.3025,5583.4464,0.725,63116.5787,8.1962
90,603589,口子窖,19.76,35.58,74.3388,1141.3729,1.9022,3207.4943,5.3458
91,002372,伟星新材,19.72,22.04,47.303999999999995,654.0351,0.4989,2967.2718,2.2634
92,603113,金能科技,19.72,14.52,20.8404,922.4752,1.3647,6350.1135,9.3945
93,002555,三七互娱,19.58,22.01,75.5332,1218.3485,0.5733,5534.8144,2.6047
94,600569,安阳钢铁,19.55,6.12,12.6434,1572.7109,0.657,25695.345,10.7346
95,600436,片仔癀,19.53,25.65,43.8174,919.9464,1.5248,3585.8774,5.9436
96,600340,华夏幸福,19.42,17.45,45.3652,7878.2629,2.6232,45141.4018,15.0308
97,603899,晨光文具,19.34,10.2,25.456,624.7175,0.679,6123.5926,6.656000000000001
98,600545,卓郎智能,19.28,8.0,27.1238,536.342,0.2829,6703.0509999999995,3.5364
99,603986,兆易创新,19.22,21.34,38.4122,367.3396,1.2905,1721.126,6.0465
100,600567,山鹰纸业,19.2,12.91,22.1949,2317.1154,0.5069,17937.8621,3.9245
101,300529,健帆生物,19.15,43.81,84.801,305.9,0.7325,698.1048,1.6717
