code,name,roe,net_profit_ratio,net_profits,eps,cf_sales,rateofreturn,cashflowratio
300532,今天国际,4.3,11.91,33.876999999999995,0.1221,,0.0022,
300533,冰川网络,3.03,37.9,46.2348,0.4623,,0.0022,
300534,陇神戎发,1.48,9.62,10.6804,0.0352,,0.0022,
300535,达威股份,3.03,12.23,20.4985,0.1963,,0.0022,
300536,农尚环境,4.87,11.89,26.5273,0.1582,,0.0022,
300537,广信材料,2.48,10.65,30.9028,0.16,,0.0022,
300538,同益股份,3.87,2.65,15.8342,0.1878,,0.0022,
300539,横河模具,1.95,3.02,7.3967,0.0353,,0.0022,
300540,深冷股份,1.12,6.46,7.2994,0.0586,,0.0022,
300541,先进数通,2.44,3.31,18.1435,0.1001,,0.0022,
300542,新晨科技,1.29,3.61,7.734,0.0498,,0.0022,
300543,朗科智能,3.06,3.74,19.5353,0.1627,,0.0022,
300545,联得装备,6.87,12.74,37.3386,0.259,,0.0022,
300546,雄帝科技,5.18,14.78,34.3458,0.254,,0.0022,
300547,川环科技,8.37,17.98,59.3084,0.4802,,0.0022,
300548,博创科技,4.6,24.65,29.1158,0.3521,,0.0022,
300549,优德精密,5.41,13.79,26.6909,0.2001,,0.0022,
300550,和仁科技,2.72,9.78,14.1784,0.1703,,0.0022,
300551,古鳌科技,-3.88,-37.56,-19.4686,-0.1769,,0.0022,
300552,万集科技,-3.86,-12.8,-28.0472,-0.2589,,0.0022,
300553,集智股份,3.36,15.54,10.7835,0.2246,,0.0022,
300554,三超新材,12.4,30.01,65.5701,0.7005,,0.0022,
300555,路通视信,1.69,6.01,10.7216,0.0536,,0.0022,
300556,丝路视觉,7.61,11.38,33.5788,0.2923,,0.0022,
300557,理工光科,-4.43,-64.41,-19.8311,-0.3562,,0.0022,
300558,贝达药业,3.22,11.46,66.6728,0.1662,,0.0022,
300559,佳发教育,7.22,30.11,49.2653,0.353,,0.0022,
300560,中富通,5.62,12.29,28.2945,0.1793,,0.0022,
300561,汇金科技,2.18,14.66,14.615,0.0857,,0.0022,
300562,乐心医疗,1.65,2.54,8.5352,0.0452,,0.0022,
300563,神宇股份,5.07,13.02,23.5247,0.294,,0.0022,
300565,科信技术,2.33,5.79,17.2493,0.0829,,0.0022,
300566,激智科技,4.35,7.15,25.6026,0.1585,,0.0022,
300567,精测电子,12.51,21.8,117.3335,0.7169,,0.0022,
300568,星源材质,10.35,48.12,152.8534,0.7961,,0.0022,
300569,天能重工,1.81,8.11,30.5994,0.2039,,0.0022,
300570,太辰光,5.53,20.87,62.3674,0.2711,,0.0022,
300571,平治信息,25.74,23.6,110.064,0.9143,,0.0022,
300572,安车检测,9.91,25.29,59.8654,0.4945,,0.0022,
300573,兴齐眼药,-0.35,-0.93,-1.8821,-0.0235,,0.0022,
300575,中旗股份,7.62,10.22,81.4039,1.1098,,0.0022,
300576,容大感光,4.64,9.79,19.2538,0.1604,,0.0022,
300577,开润股份,15.61,9.64,83.7096,0.3844,,0.0022,
300578,会畅通讯,5.46,14.35,16.2257,0.1225,,0.0022,
300579,数字认证,4.43,11.65,24.1955,0.2016,,0.0022,
300580,贝斯特,5.3,19.99,68.6895,0.3434,,0.0022,
300581,晨曦航空,0.85,9.12,4.8308,0.0281,,0.0022,
300582,英飞特,3.31,6.83,31.8084,0.1581,,0.0022,
300583,赛托生物,3.98,12.47,69.9552,0.6478,,0.0022,
300584,海辰药业,7.55,11.92,40.7092,0.3392,,0.0022,
300585,奥联电子,5.85,15.84,28.4266,0.1757,,0.0022,
300586,美联新材,4.88,10.83,27.7795,0.1157,,0.0022,
300587,天铁股份,3.02,14.4,27.2626,0.2559,,0.0022,
300588,熙菱信息,-7.12,-16.7,-24.4939,-0.153,,0.0022,
300589,江龙船艇,2.35,4.43,7.4172,0.0365,,0.0022,
300590,移为通信,6.19,25.92,48.7098,0.3044,,0.0022,
300592,华凯创意,1.89,5.87,9.4559,0.0772,,0.0022,
300593,新雷能,3.67,10.51,20.9882,0.1816,,0.0022,
300595,欧普康视,9.55,48.03,83.4494,0.3729,,0.0022,
300596,利安隆,8.95,12.08,86.2131,0.4789,,0.0022,
300597,吉大通信,1.8,8.64,13.2975,0.0554,,0.0022,
300598,诚迈科技,0.37,0.69,1.6634,0.0207,,0.0022,
300599,雄塑科技,7.05,10.88,91.7662,0.3018,,0.0022,
300600,瑞特股份,6.1,27.45,57.6867,0.5768,,0.0022,
300601,康泰生物,19.97,26.92,286.3664,0.4517,,0.0022,
300602,飞荣达,6.82,12.68,70.0446,0.344,,0.0022,
300603,立昂技术,0.8,1.39,3.3894,0.033,,0.0022,
300604,长川科技,5.61,21.64,25.0066,0.1686,,0.0022,
300605,恒锋信息,3.22,9.37,14.6347,0.1725,,0.0022,
300606,金太阳,5.76,14.51,27.9394,0.3132,,0.0022,
300607,拓斯达,9.4,14.66,76.7254,0.5881,,0.0022,
300608,思特奇,-2.1,-5.39,-12.9765,-0.1222,,0.0022,
300609,汇纳科技,3.03,18.52,14.1817,0.1405,,0.0022,
300610,晨化股份,4.65,8.3,32.759,0.2183,,0.0022,
300611,美力科技,3.09,8.12,20.53,0.1147,,0.0022,
300612,宣亚国际,0.6,1.48,2.6017,0.016,,0.0022,
300613,富瀚微,3.86,18.81,38.4575,0.8486,,0.0022,
300615,欣天科技,1.99,8.33,9.0717,0.0629,,0.0022,
300616,尚品宅配,4.67,4.3,123.4828,0.6214,,0.0022,
300617,安靠智电,5.29,27.66,43.5628,0.4356,,0.0022,
300618,寒锐钴业,33.87,35.19,528.7792,2.7539999999999996,,0.0022,
300619,金银河,6.22,9.9,27.248,0.3648,,0.0022,
300620,光库科技,9.02,33.12,45.5473,0.5175,,0.0022,
300621,维业股份,6.74,5.18,56.9913,0.27399999999999997,,0.0022,
300622,博士眼镜,5.6,9.86,26.0041,0.2988,,0.0022,
300623,捷捷微电,6.63,32.22,83.5703,0.4649,,0.0022,
300624,万兴科技,8.12,19.26,48.3154,0.6039,,0.0022,
300626,华瑞股份,4.53,5.39,22.5837,0.1254,,0.0022,
300626,华瑞股份,4.53,5.39,22.5837,0.1254,,0.0022,
300627,华测导航,5.55,10.41,44.3684,0.1799,,0.0022,
300628,亿联网络,13.4,48.8,410.1403,1.3731,,0.0022,
300629,新劲刚,2.18,6.83,7.6677,0.0766,,0.0022,
300630,普利制药,9.1,28.04,70.3044,0.3838,,0.0022,
300631,久吾高科,1.77,9.31,10.2516,0.0998,,0.0022,
300632,光莆股份,6.33,12.13,34.1402,0.2267,,0.0022,
300633,开立医疗,10.13,21.82,117.9521,0.2948,,0.0022,
300634,彩讯股份,4.78,17.6,54.4121,0.136,,0.0022,
300635,达安股份,4.11,11.64,25.3826,0.187,,0.0022,
300636,同和药业,3.01,15.67,19.7203,0.2425,,0.0022,
300637,扬帆新材,10.98,26.51,67.0342,0.5437,,0.0022,
300638,广和通,5.82,4.11,22.1762,0.1848,,0.0022,
300639,凯普生物,4.75,18.54,46.2932,0.2543,,0.0022,
300640,德艺文创,4.51,4.96,12.5066,0.0868,,0.0022,
300641,正丹股份,3.51,7.65,46.031000000000006,0.094,,0.0022,
300642,透景生命,5.39,36.63,51.441,0.5662,,0.0022,
300643,万通智控,2.89,8.43,11.6314,0.0581,,0.0022,
300644,南京聚隆,1.61,2.14,10.7765,0.1683,,0.0022,
300645,正元智慧,0.21,0.67,1.1294,0.0169,,0.0022,
300647,超频三,1.77,3.67,9.1393,0.0412,,0.0022,
300648,星云股份,3.03,10.34,15.9434,0.1177,,0.0022,
300649,杭州园林,7.46,7.16,24.5012,0.1914,,0.0022,
300650,太龙照明,4.54,11.87,21.5674,0.2009,,0.0022,
300651,金陵体育,2.15,9.2,13.4715,0.1778,,0.0022,
300652,雷迪克,5.79,17.46,39.8425,0.4527,,0.0022,
300653,正海生物,8.27,38.0,39.9773,0.4997,,0.0022,
300654,世纪天鸿,1.71,6.69,7.2687,0.0519,,0.0022,
300655,晶瑞股份,5.04,6.52,23.9144,0.1583,,0.0022,
300656,民德电子,5.59,26.68,23.9215,0.2657,,0.0022,
300657,弘信电子,8.34,4.11,43.5993,0.4192,,0.0022,
300658,延江股份,2.23,5.16,16.5188,0.1101,,0.0022,
300659,中孚信息,-1.27,-4.65,-5.002,-0.0377,,0.0022,
300660,江苏雷利,5.67,10.16,115.1044,0.6274,,0.0022,
300661,圣邦股份,5.23,14.4,40.9721,0.6731,,0.0022,
300662,科锐国际,7.23,6.59,47.8267,0.2657,,0.0022,
300663,科蓝软件,-5.13,-15.51,-33.0799,-0.1638,,0.0022,
300664,鹏鹞环保,3.51,25.99,104.4243,0.2175,,0.0022,
300665,飞鹿股份,2.41,7.58,10.839,0.1426,,0.0022,
300666,江丰电子,4.25,8.31,24.5937,0.1124,,0.0022,
300667,必创科技,2.29,15.3,8.2863,0.0812,,0.0022,
300668,杰恩设计,10.8,25.07,39.0994,0.3709,,0.0022,
300669,沪宁股份,3.83,14.11,17.0743,0.2027,,0.0022,
300670,大烨智能,2.4,9.6,13.6187,0.126,,0.0022,
300671,富满电子,7.12,15.48,38.381,0.2704,,0.0022,
300672,国科微,-6.34,-58.14,-57.173,-0.5115,,0.0022,
300673,佩蒂股份,7.74,17.3,68.1582,0.5679,,0.0022,
300674,宇信科技,5.39,8.86,67.2581,0.1868,,0.0022,
300675,建科院,0.87,2.34,3.6113,0.0246,,0.0022,
300676,华大基因,4.9,18.21,207.7458,0.5192,,0.0022,
300677,英科医疗,6.01,7.9,69.1099,0.3517,,0.0022,
300678,中科信息,2.35,13.75,12.5579,0.0697,,0.0022,
300679,电连技术,3.79,20.35,122.5272,0.5672,,0.0022,
300680,隆盛科技,1.68,9.35,5.595,0.0822,,0.0022,
300681,英搏尔,6.33,13.39,40.4173,0.5346,,0.0022,
300682,朗新科技,-6.95,-73.96,-75.7154,-0.1816,,0.0022,
300683,海特生物,2.81,17.3,46.4656,0.4495,,0.0022,
300684,中石科技,7.43,15.74,43.2029,0.4973,,0.0022,
300685,艾德生物,9.94,34.35,69.5756,0.4831,,0.0022,
300686,智动力,0.66,1.43,4.0924,0.0316,,0.0022,
300687,赛意信息,3.28,7.02,25.4031,0.1764,,0.0022,
300688,创业黑马,4.26,18.72,16.4635,0.2421,,0.0022,
300689,澄天伟业,4.71,16.35,25.5472,0.3756,,0.0022,
300690,双一科技,4.85,18.78,44.056000000000004,0.3971,,0.0022,
300691,联合光电,3.97,6.52,31.3915,0.2241,,0.0022,
300692,中环环保,3.21,16.2,23.0093,0.1438,,0.0022,
300693,盛弘股份,4.35,10.24,25.4586,0.18600000000000003,,0.0022,
300694,蠡湖股份,8.87,11.3,58.8035,0.3641,,0.0022,
300695,兆丰股份,5.63,39.09,91.1916,1.3676,,0.0022,
300696,爱乐达,5.42,53.7,38.9473,0.3322,,0.0022,
300697,电工合金,4.82,5.21,34.8401,0.1675,,0.0022,
300698,万马科技,1.33,3.51,5.1188,0.0381,,0.0022,
300699,光威复材,7.96,32.93,214.2769,0.5822,,0.0022,
300700,岱勒新材,8.64,23.25,48.1343,0.5841,,0.0022,
300701,森霸传感,7.59,38.19,33.4603,0.4182,,0.0022,
300702,天宇股份,3.09,6.27,40.5617,0.2228,,0.0022,
300703,创源文化,5.1,8.04,29.7986,0.2483,,0.0022,
300705,九典制药,4.14,7.74,27.9156,0.1189,,0.0022,
300706,阿石创,4.54,17.08,19.1988,0.136,,0.0022,
300707,威唐工业,10.1,20.48,62.1443,0.3953,,0.0022,
300708,聚灿光电,-1.8,-4.59,-12.4066,-0.0482,,0.0022,
300709,精研科技,-0.87,-3.6,-10.6615,-0.1211,,0.0022,
300710,万隆光电,2.85,10.34,16.9047,0.2463,,0.0022,
300711,广哈通信,3.85,23.46,21.7953,0.1511,,0.0022,
300712,永福股份,4.27,12.79,38.2523,0.273,,0.0022,
300713,英可瑞,4.42,26.86,32.6533,0.3414,,0.0022,
300715,凯伦股份,6.42,10.25,25.2258,0.1946,,0.0022,
300716,国立科技,3.77,6.07,30.3428,0.1896,,0.0022,
300717,华信新材,4.81,16.75,24.9484,0.2436,,0.0022,
300718,长盛轴承,6.61,20.27,69.2786,0.3498,,0.0022,
300719,安达维尔,-0.21,-1.2,-1.8696,-0.0073,,0.0022,
300720,海川智能,3.68,24.06,15.5764,0.2163,,0.0022,
300721,怡达股份,2.66,4.02,22.9245,0.2834,,0.0022,
300722,新余国科,5.71,24.09,23.0573,0.2882,,0.0022,
300723,一品红,6.51,9.97,76.5655,0.4741,,0.0022,
300724,捷佳伟创,17.43,23.63,184.4871,0.7686,,0.0022,
300725,药石科技,10.23,25.21,53.1567,0.4832,,0.0022,
300726,宏达电子,8.62,41.81,129.404,0.3234,,0.0022,
300727,润禾材料,6.17,9.46,30.0949,0.2371,,0.0022,
300729,乐歌股份,4.17,6.87,30.1591,0.345,,0.0022,
300730,科创信息,-3.02,-15.35,-10.8411,-0.0686,,0.0022,
300731,科创新源,5.94,20.28,28.7914,0.3301,,0.0022,
300732,设研院,6.55,26.2,105.2696,0.8122,,0.0022,
300733,西菱动力,3.81,14.58,42.5468,0.2659,,0.0022,
300735,光弘科技,5.37,12.42,87.376,0.2463,,0.0022,
300736,百邦科技,4.84,9.18,19.2701,0.2365,,0.0022,
300737,科顺股份,4.39,10.36,129.4773,0.212,,0.0022,
300738,奥飞数据,4.7,13.02,25.2797,0.3873,,0.0022,
300739,明阳电路,3.63,7.68,42.5738,0.2303,,0.0022,
300740,御家汇,4.89,6.63,65.0338,0.239,,0.0022,
300741,华宝股份,6.32,54.94,526.2911,0.8545,,0.0022,
300742,越博动力,3.31,8.89,38.0955,0.4853,,0.0022,
300743,天地数码,5.24,10.11,20.2433,0.3093,,0.0022,
300745,欣锐科技,4.2,14.82,43.7601,0.3821,,0.0022,
300746,汉嘉设计,3.63,7.34,31.5567,0.1499,,0.0022,
300747,锐科激光,13.87,34.35,258.0951,2.0163,,0.0022,
300748,金力永磁,6.28,8.47,52.1824,0.1403,,0.0022,
300749,顶固集创,6.5,7.66,24.2725,0.2839,,0.0022,
300750,宁德时代,2.95,9.73,910.9543,0.4193,,0.0022,
300751,迈为股份,22.45,25.1,89.5176,2.2953,,0.0022,
300752,隆利科技,21.91,11.65,80.4753,1.4767,,0.0022,
300753,爱朋医疗,10.9,25.28,33.2873,0.5492,,0.0022,
600000,浦发银行,6.48,34.73,28569.0,0.9452,,0.0022,
600004,白云机场,4.48,18.89,703.0512,0.3397,,0.0022,
600006,东风汽车,4.2,5.03,291.2531,0.1456,,0.0022,
600007,中国国贸,6.16,26.01,403.8617,0.4009,,0.0022,
600008,首创股份,1.64,4.57,209.6233,0.0434,,0.0022,
600009,上海机场,7.76,44.87,2021.5519,1.0490000000000002,,0.0022,
600010,包钢股份,2.8,4.47,1416.229,0.031,,0.0022,
600011,华能国际,2.79,2.58,2128.7104,0.14,,0.0022,
600012,皖通高速,5.81,37.85,555.5967,0.3349,,0.0022,
600015,华夏银行,5.69,30.52,10035.0,0.7170000000000001,,0.0022,
600016,民生银行,7.45,39.27,29618.0,0.8117,,0.0022,
600017,日照港,3.24,13.84,354.9256,0.1153,,0.0022,
600018,上港集团,4.92,19.34,3386.5114,0.1461,,0.0022,
600019,宝钢股份,6.07,6.73,10009.2048,0.4494,,0.0022,
600020,中原高速,5.27,24.17,626.5127,0.191,,0.0022,
600021,上海电力,2.49,2.83,307.6827,0.1276,,0.0022,
600022,山东钢铁,8.48,6.74,1677.9826,0.1532,,0.0022,
600023,浙能电力,3.93,8.45,2348.1217,0.1726,,0.0022,
600025,华能水电,2.2,13.4,867.1131,0.0481,,0.0022,
600026,中远海能,-0.78,-4.21,-215.7244,-0.0535,,0.0022,
600027,华电国际,2.31,2.37,986.48,0.1,,0.0022,
600028,中国石化,5.76,3.19,41600.0,0.3435,,0.0022,
600029,南方航空,4.14,3.16,2137.0,0.2118,,0.0022,
600030,中信证券,3.7,27.83,5565.151999999999,0.4592,,0.0022,
600031,三一重工,12.11,12.04,3388.559,0.4378,,0.0022,
600033,福建高速,4.54,31.2,397.8433,0.1449,,0.0022,
600035,楚天高速,5.16,22.19,314.9356,0.1819,,0.0022,
600036,招商银行,8.93,35.47,44756.0,1.7746,,0.0022,
600037,歌华有线,2.86,30.68,365.8231,0.2628,,0.0022,
600038,中直股份,2.43,3.32,178.0048,0.3019,,0.0022,
600039,四川路桥,3.58,3.08,478.0554,0.1324,,0.0022,
600048,保利地产,5.94,10.93,6505.4433,0.5485,,0.0022,
600050,中国联通,1.87,1.73,2583.1864,0.0832,,0.0022,
600051,宁波联合,2.09,2.28,49.1531,0.1581,,0.0022,
600052,浙江广厦,4.26,136.72,104.1888,0.1195,,0.0022,
600053,九鼎投资,4.77,25.18,96.40299999999999,0.2223,,0.0022,
600054,黄山旅游,5.41,32.07,218.8554,0.2928,,0.0022,
600055,万东医疗,2.25,11.18,42.5509,0.0786,,0.0022,
600056,中国医药,10.51,5.77,839.5663,0.7857,,0.0022,
600057,厦门象屿,5.2,0.54,585.872,0.2715,,0.0022,
600058,五矿发展,-2.04,-0.58,-149.4388,-0.1394,,0.0022,
600059,古越龙山,2.59,10.67,103.765,0.1283,,0.0022,
600060,海信电器,2.44,2.47,347.1617,0.2653,,0.0022,
600061,国投资本,2.27,129.02,830.6585,0.1965,,0.0022,
600062,华润双鹤,7.82,14.26,583.216,0.6708,,0.0022,
600063,皖维高新,1.91,3.14,88.0272,0.0457,,0.0022,
600064,南京高科,6.82,36.11,703.3207,0.569,,0.0022,
600066,宇通客车,4.1,5.13,616.4945,0.2784,,0.0022,
