date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2018-07-10,5.89,5.92,5.89,5.83,30254.4,-0.03,-0.51,5.866,5.821,5.916,36636.04,33752.92,32142.18
2018-07-09,5.88,5.93,5.92,5.8,57373.69,0.04,0.68,5.872,5.802,5.945,37117.8,33124.39,31726.28
2018-07-06,5.72,5.89,5.89,5.62,34265.8,0.18,3.15,5.84,5.776,5.973,31463.96,29790.72,30533.32
2018-07-05,5.86,5.94,5.7,5.69,27305.55,-0.23,-3.88,5.838,5.755,6.01,32343.46,28774.0,29877.73
2018-07-04,5.92,6.09,5.93,5.85,33980.74,0.01,0.17,5.83,5.751,6.06,32306.59,29468.6,29494.98
2018-07-03,5.76,5.92,5.92,5.75,32663.2,0.16,2.78,5.776,5.735,6.099,30869.8,29827.63,28760.87
2018-07-02,5.93,5.93,5.76,5.72,29104.52,-0.11,-1.87,5.732,5.719,6.134,29130.99,33132.07,28386.72
2018-06-29,5.67,5.88,5.88,5.63,38663.3,0.22,3.89,5.712,5.78,6.176,28117.49,33124.56,28526.29
2018-06-28,5.67,5.77,5.66,5.62,27121.17,-0.01,-0.18,5.672,5.838,6.217,25204.54,31259.97,28066.2
2018-06-27,5.71,5.75,5.66,5.65,26796.82,-0.04,-0.7,5.672,5.917,6.265,26630.61,30559.56,29022.55
2018-06-26,5.6,5.72,5.7,5.53,23969.14,0.04,0.71,5.694,6.01,6.327,28785.45,30531.44,28836.31
2018-06-25,5.67,5.78,5.66,5.64,24037.0,-0.01,-0.18,5.706,6.087,6.39,37133.15,30328.17,29309.96
2018-06-22,5.59,5.71,5.68,5.53,24098.56,0.07,1.25,5.848,6.169,6.461,38131.63,31275.91,29416.67
2018-06-21,5.75,5.82,5.66,5.62,34251.55,-0.12,-2.08,6.004,6.264,6.536,37315.41,30981.45,29616.76
2018-06-20,5.71,5.88,5.77,5.68,37571.0,0.02,0.35,6.162,6.369,6.613,34488.51,29521.36,30710.12
2018-06-19,6.3,6.3,5.76,5.72,65707.65,-0.6,-9.43,6.326,6.462,6.693,32277.42,27694.11,31399.15
